"CodProducto","CodBarraDB","ProductoDB","ExcelRow","CodigoExcel","TratamientoExcel","Score","JustificacionChars","Justificacion"
"10136","123","ARMAZON DE CROMO COBALTO (LABORATORIO)","11","123","ARMAZON DE CROMO COBALTO (LABORATORIO)","100","237","Si no se repone o rehabilita la ausencia dentaria, puede alterarse la masticación, la fonación y la estética, además de sobrecargar dientes remanentes y favorecer movimientos dentarios. La prótesis ayuda a recuperar función y equilibrio."
"10137","124","PROTESIS  CROMO COBALTO POR  ARCADA  (LABORATORIO)","121","124","PROTESIS CROMO COBALTO POR ARCADA (LABORATORIO)","100","237","Si no se repone o rehabilita la ausencia dentaria, puede alterarse la masticación, la fonación y la estética, además de sobrecargar dientes remanentes y favorecer movimientos dentarios. La prótesis ayuda a recuperar función y equilibrio."
"10138","125","PPRR DE CROMO SUBSIGUIENTE (LABORATORIO)","119","125","PPRR DE CROMO SUBSIGUIENTE (LABORATORIO)","100","237","Si no se repone o rehabilita la ausencia dentaria, puede alterarse la masticación, la fonación y la estética, además de sobrecargar dientes remanentes y favorecer movimientos dentarios. La prótesis ayuda a recuperar función y equilibrio."
"10139","126","PROTESIS PARCIAL ACRILICO POR ARCADA, SIN IMPORTAR CANT DE DIENTES (LABORATORIO)","126","126","PROTESIS PARCIAL ACRILICO POR ARCADA, SIN IMPORTAR CANT DE DIENTES (LABORATORIO)","100","237","Si no se repone o rehabilita la ausencia dentaria, puede alterarse la masticación, la fonación y la estética, además de sobrecargar dientes remanentes y favorecer movimientos dentarios. La prótesis ayuda a recuperar función y equilibrio."
"10140","127","COMPOSTURA PROTESIS  ACRILICO (LABORATORIO)","36","127","COMPOSTURA PROTESIS ACRILICO (LABORATORIO)","100","215","Si no se repara o completa la prótesis, puede perder estabilidad, lastimar la encía, afectar la masticación y sobrecargar otros dientes. Corregirla permite recuperar función, comodidad y seguridad al hablar o comer."
"10141","128","PROTESIS FLEXIBLE (COMPLETA Y PARCIAL ) (LABORATORIO) ","123","128","PROTESIS FLEXIBLE (COMPLETA Y PARCIAL ) (LABORATORIO)","100","237","Si no se repone o rehabilita la ausencia dentaria, puede alterarse la masticación, la fonación y la estética, además de sobrecargar dientes remanentes y favorecer movimientos dentarios. La prótesis ayuda a recuperar función y equilibrio."
"10144","131","COMPOSTURA DE PROTESIS COMPLEJA (LABORATORIO)","35","131","COMPOSTURA DE PROTESIS COMPLEJA (LABORATORIO)","100","215","Si no se repara o completa la prótesis, puede perder estabilidad, lastimar la encía, afectar la masticación y sobrecargar otros dientes. Corregirla permite recuperar función, comodidad y seguridad al hablar o comer."
"10145","132","GANCHO POR DIENTE PROTESIS  (LABORATORIO)","65","132","GANCHO POR DIENTE PROTESIS (LABORATORIO)","100","215","Si no se repara o completa la prótesis, puede perder estabilidad, lastimar la encía, afectar la masticación y sobrecargar otros dientes. Corregirla permite recuperar función, comodidad y seguridad al hablar o comer."
"10146","134","REVASADO DE PROTESIS (LABORATORIO)","151","134","REVASADO DE PROTESIS (LABORATORIO)","100","195","Si no se realiza el revasado, la prótesis puede quedar floja, lastimar la encía, dificultar la masticación y perder estabilidad. Ajustarla mejora comodidad, retención y protección de los tejidos."
"10147","135","AGREGADO DE CORONA ACRILICO  (LABORATORIO)","5","135","AGREGADO DE CORONA ACRILICO (LABORATORIO)","100","215","Si no se repara o completa la prótesis, puede perder estabilidad, lastimar la encía, afectar la masticación y sobrecargar otros dientes. Corregirla permite recuperar función, comodidad y seguridad al hablar o comer."
"10238","136","BY HELLIX (LABORATORIO EN FOZ DO IGUACU)","19","136","BY HELLIX (LABORATORIO EN FOZ DO IGUACU)","100","197","Si no se realiza el aparato ortopédico en la etapa indicada, puede perderse una oportunidad importante de guiar el crecimiento, corregir la mordida y evitar tratamientos más complejos en el futuro."
"10098","150","CIRUGIA CONVENCIONNAL SIN REABSORCION ","28","150","CIRUGIA CONVENCIONNAL SIN REABSORCION","100","223","Si no se realiza la extracción o cirugía indicada, puede mantenerse dolor, infección, inflamación, fractura de restos dentarios o daño a dientes vecinos. Tratarlo a tiempo evita urgencias y facilita una mejor cicatrización."
"10070","151","ENDODONCIA MECANIZADA ANTERIOR ","55","151","ENDODONCIA MECANIZADA ANTERIOR","100","234","Si no se realiza la endodoncia indicada, la inflamación o infección del nervio puede avanzar, producir dolor intenso, absceso, pérdida ósea y posible extracción. Realizarla permite conservar el diente natural y controlar la infección."
"10069","155","MEDICACION (SIN OBTURACION C/ PROVIS)","81","155","MEDICACION (SIN OBTURACION C/ PROVIS)","100","213","Si no se coloca la medicación y el provisorio indicados, la cavidad puede contaminarse, continuar el dolor o avanzar la infección. Esta etapa ayuda a estabilizar la pieza hasta completar el tratamiento definitivo."
"10179","156","TOMA DE MUESTRA ( PARA BIOPSIA)","160","156","TOMA DE MUESTRA ( PARA BIOPSIA)","100","201","Si no se toma la muestra indicada, no se puede confirmar con seguridad la naturaleza de la lesión. Esto puede retrasar el diagnóstico, permitir que el problema avance y demorar el tratamiento adecuado."
"10242","157","PROTESIS TRANSPARENTE ","129","157","PROTESIS TRANSPARENTE","100","237","Si no se repone o rehabilita la ausencia dentaria, puede alterarse la masticación, la fonación y la estética, además de sobrecargar dientes remanentes y favorecer movimientos dentarios. La prótesis ayuda a recuperar función y equilibrio."
"10175","158","RETRATAMIENTO ENDODONCIA (MECANIZADA ANTERIOR)","148","158","RETRATAMIENTO ENDODONCIA (MECANIZADA ANTERIOR)","100","231","Si no se corrige una endodoncia con infección o falla persistente, el dolor o la lesión pueden continuar y avanzar hacia absceso, pérdida ósea o extracción. El retratamiento busca salvar la pieza y evitar una solución más invasiva."
"10159","160","CANCELACION DE CONTRATO ","20","160","CANCELACION DE CONTRATO","100","241","Si no se registra correctamente la cancelación, pueden quedar cuotas, saldos o compromisos activos que generen confusión con el paciente. Registrar esta gestión permite cerrar el proceso de forma ordenada y dejar trazabilidad administrativa."
"10075","164","CORONA  POR PIEZA DENTARIA CEROMERO (LABORATORIO)","40","164","CORONA POR PIEZA DENTARIA CEROMERO (LABORATORIO)","100","223","Si no se protege la pieza con una corona cuando está indicada, el diente debilitado puede fracturarse, filtrarse, doler o perderse. La corona ayuda a conservar la pieza, devolver función y evitar tratamientos más invasivos."
"10058","166","TERCER MOLAR ERUPCIONADO (CIRUGIA)  ","155","166","TERCER MOLAR ERUPCIONADO (CIRUGIA)","100","219","Si no se trata el tercer molar indicado, puede generar dolor, inflamación, infección, dificultad de higiene, caries o daño en dientes vecinos. Resolverlo a tiempo ayuda a prevenir urgencias y complicaciones posteriores."
"10152","169","MANTENEDOR LINGUAL/PALATINO (LABORATORIO)","79","169","MANTENEDOR LINGUAL/PALATINO (LABORATORIO)","100","238","Si no se coloca el mantenedor indicado, puede perderse el espacio necesario para los dientes permanentes, generando apiñamiento, desviaciones o tratamientos de ortodoncia más complejos. Mantener el espacio ayuda a guiar mejor la erupción."
"10168","170","CONSULTA ODONTOLOGICA","38","170","CONSULTA ODONTOLOGICA","100","250","Si no se realiza la consulta odontológica, pueden pasar desapercibidos problemas iniciales como caries, inflamación, infección o desgaste. La consulta permite detectar a tiempo, orientar al paciente y evitar que el tratamiento se vuelva más complejo."
"10169","171","INSTALACION ORTODONCIA SUPERIOR E INFERIOR ","72","171","INSTALACION ORTODONCIA SUPERIOR E INFERIOR","100","240","Si no se inicia o continúa la ortodoncia indicada, la mala posición dental o mordida puede mantenerse o empeorar, dificultar la higiene, aumentar desgaste y requerir tratamientos más complejos. Realizarla ordena la mordida y mejora función."
"10066","172","INCRUSTACION DIENTES PREMOLARES  CEROMERO (LABORATORIO)","69","172","INCRUSTACION DIENTES PREMOLARES CEROMERO (LABORATORIO)","100","226","Si no se reconstruye la pieza con la incrustación indicada, la cavidad puede avanzar, filtrarse o fracturar más estructura dental. Realizarla protege el diente, recupera función masticatoria y evita tratamientos más complejos."
"10067","173","POSTERIOR PREM OCLUSAL SIMPLE CARIES ","117","173","POSTERIOR PREM OCLUSAL SIMPLE CARIES","100","235","Si no se realiza la restauración, la caries puede avanzar, llegar al nervio, causar dolor, infección, fractura dental, necesidad de conducto o incluso extracción. Tratarla a tiempo conserva más diente sano y evita que el costo aumente."
"10155","174","MANTENEDOR A PLACA DE ACETATO X ARCADA (LABORATORIO)","75","174","MANTENEDOR A PLACA DE ACETATO X ARCADA (LABORATORIO)","100","238","Si no se coloca el mantenedor indicado, puede perderse el espacio necesario para los dientes permanentes, generando apiñamiento, desviaciones o tratamientos de ortodoncia más complejos. Mantener el espacio ayuda a guiar mejor la erupción."
"10154","181","PLACA PARA BRUXISMO DE ACETATO  (LABORATORIO)","107","181","PLACA PARA BRUXISMO DE ACETATO (LABORATORIO)","100","239","Si no se usa la placa indicada, el desgaste por apretamiento o rechinamiento puede avanzar, causando sensibilidad, fracturas, dolor muscular o articular y daño en restauraciones. La placa ayuda a proteger dientes y tratamientos realizados."
"10246","182","EXTIRPACIÓN QUIRÚRGICA DE HIPERPLASIA PALATINA (REMOCIÓN DE TEJIDO EN PALADAR)","61","182","EXTIRPACIÓN QUIRÚRGICA DE HIPERPLASIA PALATINA (REMOCIÓN DE TEJIDO EN PALADAR)","100","229","Si no se retira la hiperplasia indicada, el tejido puede seguir irritándose, crecer, dificultar la higiene o afectar el uso de prótesis. La extirpación permite confirmar el diagnóstico, mejorar la comodidad y controlar la lesión."
"10247"," 182","EXTIRPACIÓN QUIRÚRGICA DE HIPERPLASIA PALATINA (REMOCIÓN DE TEJIDO EN PALADAR)","60","182","EXTIRPACIÓN QUIRÚRGICA DE HIPERPLASIA PALATINA (REMOCIÓN DE TEJIDO EN PALADAR)","100","229","Si no se retira la hiperplasia indicada, el tejido puede seguir irritándose, crecer, dificultar la higiene o afectar el uso de prótesis. La extirpación permite confirmar el diagnóstico, mejorar la comodidad y controlar la lesión."
"10052","188","OSTECTOMIA ","94","188","OSTECTOMIA","100","224","Si no se realiza la ostectomía cuando está indicada, puede dificultarse la extracción, la rehabilitación o el acceso correcto al área afectada. Realizarla permite resolver el caso con mejor visibilidad, control y pronóstico."
"10053","189","CORTE FRENILLO LABIAL Y LINGUAL ","49","189","CORTE FRENILLO LABIAL Y LINGUAL","100","252","Si no se corrige el frenillo cuando está indicado, puede mantenerse la dificultad de higiene, movilidad limitada, separación dentaria, tracción de encía o alteraciones funcionales. Realizarlo ayuda a mejorar función, estabilidad y salud de los tejidos."
"10172","190","CEMENTADO DE  PERNO (METALICO O ESTETICO)","22","190","CEMENTADO DE PERNO (METALICO O ESTETICO)","100","207","Si no se cementa o recementa la pieza indicada, la restauración puede quedar floja, filtrarse, fracturarse o permitir caries debajo. Cementarla correctamente ayuda a proteger el diente y mantener la función."
"10225","194","PIEZA DE PUENTE DE FIBRA Y CEROMERO X CORONA/DIENTE  (LABORATORIO)","100","194","PIEZA DE PUENTE DE FIBRA Y CEROMERO X CORONA/DIENTE (LABORATORIO)","100","224","Si no se repone el espacio con un puente cuando está indicado, los dientes vecinos pueden moverse, la mordida puede descompensarse y la masticación verse afectada. El puente ayuda a recuperar función, estética y estabilidad."
"10219","197","PROTESIS PROVISORIA (ACRILICO AUTOCURADO)  UNILATERAL ","127","197","PROTESIS PROVISORIA (ACRILICO AUTOCURADO) UNILATERAL","100","248","Si no se coloca una prótesis provisoria cuando está indicada, el paciente puede quedar sin función, estética o protección durante el proceso de rehabilitación. Usarla ayuda a mantener comodidad, espacio y apariencia hasta el tratamiento definitivo."
"10222","198","EXTRACCIÓN DIENTE SUPERNUMERARIO SIN  ERUPCIONAR ","62","198","EXTRACCIÓN DIENTE SUPERNUMERARIO SIN ERUPCIONAR","100","233","Si no se trata el diente retenido o supernumerario indicado, puede alterar la erupción, desplazar dientes, causar dolor, infección, quistes o dañar piezas vecinas. Resolverlo a tiempo facilita la planificación y evita complicaciones."
"10224","199","DIENTE SUPERNUMERARIO (RUPCIONADO) SIMPLE","54","199","DIENTE SUPERNUMERARIO (RUPCIONADO) SIMPLE","100","233","Si no se trata el diente retenido o supernumerario indicado, puede alterar la erupción, desplazar dientes, causar dolor, infección, quistes o dañar piezas vecinas. Resolverlo a tiempo facilita la planificación y evita complicaciones."
"10221","200","PIPC ? PISTAS INDIRECTAS PLANAS COMPUESTAS (CON/SIN EQUIPLAN)","104","200","PIPC ? PISTAS INDIRECTAS PLANAS COMPUESTAS (CON/SIN EQUIPLAN)","100","197","Si no se realiza el aparato ortopédico en la etapa indicada, puede perderse una oportunidad importante de guiar el crecimiento, corregir la mordida y evitar tratamientos más complejos en el futuro."
"10091","201","PULPECTOMIA ANTERIOR ","132","201","PULPECTOMIA ANTERIOR","100","219","Si no se realiza la pulpectomía, la infección del nervio puede avanzar, generar dolor, absceso y pérdida temprana del diente. En niños, tratarlo ayuda a mantener la pieza hasta su recambio natural y proteger el espacio."
"10092","203","PULPECTOMIA POSTERIOR ","133","203","PULPECTOMIA POSTERIOR","100","219","Si no se realiza la pulpectomía, la infección del nervio puede avanzar, generar dolor, absceso y pérdida temprana del diente. En niños, tratarlo ayuda a mantener la pieza hasta su recambio natural y proteger el espacio."
"10093","204","PULPOTOMIA ANTERIOR ","134","204","PULPOTOMIA ANTERIOR","100","220","Si no se realiza la pulpotomía indicada, la inflamación de la pulpa puede avanzar hacia infección, dolor o pérdida temprana del diente. Tratarlo a tiempo ayuda a conservar la pieza y evitar complicaciones en la erupción."
"10094","205","PULPOTOMIA POSTERIOR ","135","205","PULPOTOMIA POSTERIOR","100","220","Si no se realiza la pulpotomía indicada, la inflamación de la pulpa puede avanzar hacia infección, dolor o pérdida temprana del diente. Tratarlo a tiempo ayuda a conservar la pieza y evitar complicaciones en la erupción."
"10059","221","RECONSTRUCCION DE ANGULO DIENTE PERMANENTE ","138","221","RECONSTRUCCION DE ANGULO DIENTE PERMANENTE","100","244","Si no se realiza la restauración, la lesión o fractura puede avanzar, generar sensibilidad, dolor, mayor pérdida de estructura y afectar la estética de la sonrisa. Tratarla a tiempo conserva más diente sano y evita procedimientos más complejos."
"10060","222","POSTERIOR MOLAR OVERLAY CARIES CEROMERO (LABORATORIO)","114","222","POSTERIOR MOLAR OVERLAY CARIES CEROMERO (LABORATORIO)","100","226","Si no se reconstruye la pieza con la incrustación indicada, la cavidad puede avanzar, filtrarse o fracturar más estructura dental. Realizarla protege el diente, recupera función masticatoria y evita tratamientos más complejos."
"10061","223","ANTERIOR PLATINO COMPLEJA ","8","223","ANTERIOR PLATINO COMPLEJA","100","244","Si no se realiza la restauración, la lesión o fractura puede avanzar, generar sensibilidad, dolor, mayor pérdida de estructura y afectar la estética de la sonrisa. Tratarla a tiempo conserva más diente sano y evita procedimientos más complejos."
"10062","224","OBTURACION CERVICAL ","84","224","OBTURACION CERVICAL","100","213","Si no se restaura la zona cervical, puede aumentar la sensibilidad, avanzar la caries o desgastarse más el cuello del diente. Tratarlo a tiempo protege la pieza y reduce molestias al frío, cepillado o masticación."
"10063","225","OBTURACION  CON IONOMERO ","83","225","OBTURACION CON IONOMERO","100","235","Si no se realiza la restauración, la caries puede avanzar, llegar al nervio, causar dolor, infección, fractura dental, necesidad de conducto o incluso extracción. Tratarla a tiempo conserva más diente sano y evita que el costo aumente."
"10048","230","TERCER MOLAR INFERIOR IMPACTADO ","157","230","TERCER MOLAR INFERIOR IMPACTADO","100","231","Si no se controla o extrae el tercer molar retenido indicado, puede provocar dolor, infección, inflamación, caries en el diente vecino, daño periodontal o formación de lesiones. Tratarlo a tiempo reduce el riesgo de complicaciones."
"10065","233","POSTERIOR MOLAR OCLUSAL SIMPLE CARIES ","111","233","POSTERIOR MOLAR OCLUSAL SIMPLE CARIES","100","235","Si no se realiza la restauración, la caries puede avanzar, llegar al nervio, causar dolor, infección, fractura dental, necesidad de conducto o incluso extracción. Tratarla a tiempo conserva más diente sano y evita que el costo aumente."
"10188","238","PLACA DE HAWLEY","105","238","PLACA DE HAWLEY","100","197","Si no se usa la contención indicada, los dientes pueden moverse nuevamente y perder parte del resultado logrado con ortodoncia. La contención ayuda a mantener la alineación y evitar retratamientos."
"10223","243","PROTESIS PROVISORIA TOTAL O PARCIAL (ACRILICO AUTOCURADO) LABORATORIO","128","243","PROTESIS PROVISORIA TOTAL O PARCIAL (ACRILICO AUTOCURADO) LABORATORIO","100","248","Si no se coloca una prótesis provisoria cuando está indicada, el paciente puede quedar sin función, estética o protección durante el proceso de rehabilitación. Usarla ayuda a mantener comodidad, espacio y apariencia hasta el tratamiento definitivo."
"10244","296","MANTENIMIENTO DE URGENCIA BRACKETS POR ARCADA","80","296","MANTENIMIENTO DE URGENCIA BRACKETS POR ARCADA","100","202","Si no se atiende la urgencia de brackets, el tratamiento puede retrasarse, causar molestias, heridas o movimientos no deseados. Resolverlo rápido mantiene la continuidad del plan y evita complicaciones."
"10096","304","RESTAURACION ESTETICA ANTERIOR CON RESINA ","141","304","RESTAURACION ESTETICA ANTERIOR CON RESINA","100","244","Si no se realiza la restauración, la lesión o fractura puede avanzar, generar sensibilidad, dolor, mayor pérdida de estructura y afectar la estética de la sonrisa. Tratarla a tiempo conserva más diente sano y evita procedimientos más complejos."
"10097","305","RESTAURACION CON IONOMERO (FUJI 9)","140","305","RESTAURACION CON IONOMERO (FUJI 9)","100","235","Si no se realiza la restauración, la caries puede avanzar, llegar al nervio, causar dolor, infección, fractura dental, necesidad de conducto o incluso extracción. Tratarla a tiempo conserva más diente sano y evita que el costo aumente."
"10072","333","ENDODONCIA MECANIZADA PRE MOLAR ","57","333","ENDODONCIA MECANIZADA PRE MOLAR","100","234","Si no se realiza la endodoncia indicada, la inflamación o infección del nervio puede avanzar, producir dolor intenso, absceso, pérdida ósea y posible extracción. Realizarla permite conservar el diente natural y controlar la infección."
"10192","335","CIRUGIA CONVENCIONAL SIN REAPSORCION (PEDIATRICA)","27","335","CIRUGIA CONVENCIONAL SIN REAPSORCION (PEDIATRICA)","100","237","Si no se retira el diente temporal indicado, puede mantenerse dolor, infección, molestia al masticar o interferencia con la erupción del permanente. Resolverlo a tiempo ayuda a evitar urgencias y a proteger el desarrollo de la dentición."
"10240","345","BIONATOR ESPECIALCO ORTONCIA (ORTOPEDICO)
 ESTIMULADOR DEL CRECIMIENTO MANDIBULAR","13","345","BIONATOR ESPECIALCO ORTONCIA (ORTOPEDICO) ESTIMULADOR DEL CRECIMIENTO MANDIBULAR","100","197","Si no se realiza el aparato ortopédico en la etapa indicada, puede perderse una oportunidad importante de guiar el crecimiento, corregir la mordida y evitar tratamientos más complejos en el futuro."
"10245","370","CONSULTA CON ESPECIALISTA DERIVADA","37","370","CONSULTA CON ESPECIALISTA DERIVADA","100","240","Si no se realiza la consulta con el especialista, puede retrasarse la definición correcta del caso o indicarse un tratamiento incompleto. La valoración especializada permite confirmar el diagnóstico y elegir una opción más segura y precisa."
"10080","441","PERNO METALICO ATICULADO CADA PIEZA DENTARIA   (LABORATORIO)","96","441","PERNO METALICO ATICULADO CADA PIEZA DENTARIA (LABORATORIO)","100","232","Si no se coloca el perno cuando está indicado, una pieza muy debilitada puede no tener soporte suficiente para recibir una corona o reconstrucción. El perno ayuda a dar retención y permite rehabilitar el diente con mejor pronóstico."
"10114","444","ORTODONCIA  CONVENCIOONAL METALICO   X36","86","444","ORTODONCIA CONVENCIOONAL METALICO X36","100","240","Si no se inicia o continúa la ortodoncia indicada, la mala posición dental o mordida puede mantenerse o empeorar, dificultar la higiene, aumentar desgaste y requerir tratamientos más complejos. Realizarla ordena la mordida y mejora función."
"10079","555","PERNO FIBRA DE VIDRIO POR PIEZA DENTARIA  (LABORATORIO)","95","555","PERNO FIBRA DE VIDRIO POR PIEZA DENTARIA (LABORATORIO)","100","232","Si no se coloca el perno cuando está indicado, una pieza muy debilitada puede no tener soporte suficiente para recibir una corona o reconstrucción. El perno ayuda a dar retención y permite rehabilitar el diente con mejor pronóstico."
"10185","556","MANTENEDOR DE ESPACIO BANDA ANCHA ","77","556","MANTENEDOR DE ESPACIO BANDA ANCHA","100","238","Si no se coloca el mantenedor indicado, puede perderse el espacio necesario para los dientes permanentes, generando apiñamiento, desviaciones o tratamientos de ortodoncia más complejos. Mantener el espacio ayuda a guiar mejor la erupción."
"10189","558","CUBETA INDIVIDUAL ","52","558","CUBETA INDIVIDUAL","100","218","Si no se realiza una cubeta individual cuando está indicada, la impresión puede quedar menos precisa y la prótesis puede adaptarse peor. Esta etapa ayuda a lograr mejor ajuste, estabilidad y comodidad para el paciente."
"10186","661","MANTENEDOR DE ESPACIO REMOVIBLE ","78","661","MANTENEDOR DE ESPACIO REMOVIBLE","100","238","Si no se coloca el mantenedor indicado, puede perderse el espacio necesario para los dientes permanentes, generando apiñamiento, desviaciones o tratamientos de ortodoncia más complejos. Mantener el espacio ayuda a guiar mejor la erupción."
"10187","667","FERULIZACION ","63","667","FERULIZACION","100","225","Si no se ferulizan los dientes indicados, puede mantenerse o aumentar la movilidad, la molestia al morder y el riesgo de pérdida de soporte. La ferulización ayuda a estabilizar las piezas y protegerlas durante el tratamiento."
"10241","747","EXODONCIA QUIRURGICA DE DIENTE RETENIDO EN PALADAR (CIRUGIA EN QUIROFANO)","59","747","EXODONCIA QUIRURGICA DE DIENTE RETENIDO EN PALADAR (CIRUGIA EN QUIROFANO)","100","233","Si no se trata el diente retenido o supernumerario indicado, puede alterar la erupción, desplazar dientes, causar dolor, infección, quistes o dañar piezas vecinas. Resolverlo a tiempo facilita la planificación y evita complicaciones."
"10239","777","RADIOGRAFIA SERIADA PARA PERIODONCIA","137","777","RADIOGRAFIA SERIADA PARA PERIODONCIA","100","236","Si no se realiza la radiografía seriada, puede quedar incompleta la evaluación del hueso y del soporte periodontal. Realizarla permite medir el daño, planificar el tratamiento y controlar mejor el riesgo de movilidad o pérdida dentaria."
"10193","799","	FLURIZACION GEL/BARNIZ(PEDIATRIA)","3","799","FLURIZACION GEL/BARNIZ(PEDIATRIA)","100","223","Si no se aplica el flúor, el esmalte del niño queda con menor protección frente a nuevas caries. Realizarlo a tiempo ayuda a fortalecer los dientes, disminuir sensibilidad y prevenir tratamientos más invasivos en el futuro."
"10083","888","CORONA DE ZIRCONIO POR PIEZA DENTARIA  (LABORATORIO)","44","888","CORONA DE ZIRCONIO POR PIEZA DENTARIA (LABORATORIO)","100","223","Si no se protege la pieza con una corona cuando está indicada, el diente debilitado puede fracturarse, filtrarse, doler o perderse. La corona ayuda a conservar la pieza, devolver función y evitar tratamientos más invasivos."
"10162","889","APARATO ORTOPEDICO HYRAX ","10","889","APARATO ORTOPEDICO HYRAX","100","197","Si no se realiza el aparato ortopédico en la etapa indicada, puede perderse una oportunidad importante de guiar el crecimiento, corregir la mordida y evitar tratamientos más complejos en el futuro."
"10195","990","HULECTOMIA ","68","990","HULECTOMIA","100","221","Si no se realiza la hulectomía indicada, el diente puede demorar en erupcionar o permanecer cubierto por tejido, generando inflamación, dolor o alteración del recambio. Realizarla ayuda a guiar una erupción más favorable."
"10201","994","CORONA METAL PORCELANA","46","994","CORONA METAL PORCELANA","100","223","Si no se protege la pieza con una corona cuando está indicada, el diente debilitado puede fracturarse, filtrarse, doler o perderse. La corona ayuda a conservar la pieza, devolver función y evitar tratamientos más invasivos."
"10200","995","CORONA METAL CERAMICO","45","995","CORONA METAL CERAMICO","100","223","Si no se protege la pieza con una corona cuando está indicada, el diente debilitado puede fracturarse, filtrarse, doler o perderse. La corona ayuda a conservar la pieza, devolver función y evitar tratamientos más invasivos."
"10199","996","CORONA DE ZIRCONIO ","43","996","CORONA DE ZIRCONIO","100","223","Si no se protege la pieza con una corona cuando está indicada, el diente debilitado puede fracturarse, filtrarse, doler o perderse. La corona ayuda a conservar la pieza, devolver función y evitar tratamientos más invasivos."
"10115","999","LIMPIEZA DE SARRO SUPERIOR E  INFERIOR ","73","999","LIMPIEZA DE SARRO SUPERIOR E INFERIOR","100","236","Si no se elimina el sarro y la inflamación, la enfermedad de encías puede avanzar, causando sangrado, mal aliento, pérdida de soporte óseo, movilidad y eventual pérdida dental. Tratarlo a tiempo protege la base que sostiene los dientes."
